no,kota,usia,usiar,sex,didik,status,Media,puas_all,puas_lay,puas_kua,puas_pri
58,1,53,6,2,2,2,2,4,4,4,4
396,1,36,3,2,2,2,3,4,4,4,4
59,1,21,1,2,2,2,7,4,4,4,4
711,2,40,4,2,2,2,1,5,5,5,5
1308,4,25,1,2,2,2,3,4,4,4,4
1314,4,52,6,2,2,2,1,4,4,4,4
1738,4,25,1,1,2,2,3,4,4,4,4
2340,6,48,5,2,2,2,5,4,3,4,4
1776,4,34,3,2,2,2,4,4,4,4,4
1579,4,43,4,1,2,2,8,4,4,4,4
335,1,47,5,1,2,2,1,4,4,4,4
382,1,52,6,2,2,2,6,3,3,3,3
967,3,44,5,2,3,2,3,5,3,5,5
1336,4,32,3,2,3,2,8,4,4,4,4
255,1,34,3,2,3,2,2,4,4,4,4
693,2,26,2,2,3,1,6,4,3,4,4
2442,7,25,1,2,3,1,3,4,4,4,4
65,1,39,4,1,3,2,3,4,3,4,4
140,1,39,4,1,3,2,6,4,4,4,4
1006,3,35,3,2,3,2,3,4,4,4,4
1214,4,37,3,1,3,2,7,4,3,4,4
1251,4,28,2,1,3,2,4,4,4,4,4
1300,4,48,5,1,3,2,7,3,3,3,3
1337,4,30,2,2,3,2,1,4,3,4,4
1453,4,35,3,1,3,2,7,4,4,4,4
1481,4,28,2,2,3,2,3,4,3,4,4
2147,6,51,6,2,3,3,7,4,4,4,4
2485,7,37,3,2,3,1,3,4,4,4,4
919,3,35,3,1,3,2,5,3,3,3,3
1492,4,23,1,2,3,2,3,3,3,4,3
26,1,55,7,1,3,2,5,5,5,4,5
34,1,24,1,1,3,1,2,4,4,4,4
60,1,26,2,1,3,2,1,4,4,4,4
68,1,35,3,2,3,2,3,4,4,4,4
87,1,53,6,1,3,2,8,4,4,4,4
96,1,48,5,1,3,1,7,4,4,4,4
151,1,35,3,1,3,2,2,4,3,4,4
154,1,31,2,2,3,2,6,4,4,4,4
158,1,31,2,1,3,2,7,4,4,4,4
203,1,20,1,2,3,1,5,4,4,4,4
207,1,50,6,2,3,2,5,4,4,4,4
211,1,23,1,2,3,2,4,4,4,4,4
214,1,21,1,1,3,1,6,3,3,4,3
233,1,23,1,1,3,1,3,4,4,4,4
259,1,47,5,2,3,2,4,4,3,4,4
267,1,26,2,2,3,2,2,5,4,4,4
630,2,40,4,1,3,2,7,4,4,4,4
671,2,45,5,2,3,2,1,3,3,3,3
696,2,25,1,1,3,1,5,3,3,4,3
924,3,27,2,1,3,1,3,4,4,4,4
960,3,56,7,2,3,2,1,4,4,4,4
977,3,28,2,1,3,2,1,4,3,4,4
1008,3,38,4,2,3,3,6,4,3,4,4
1021,3,30,2,2,3,1,1,4,4,4,4
1035,3,33,3,1,3,2,1,4,4,4,4
1204,4,46,5,2,3,2,4,4,3,3,3
1233,4,33,3,1,3,2,7,4,4,4,4
1272,4,24,1,1,3,1,1,3,3,3,3
1312,4,35,3,1,3,2,5,4,4,4,4
1398,4,25,1,1,3,1,2,4,3,4,4
1400,4,53,6,1,3,2,7,3,3,3,3
1404,4,32,3,1,3,2,1,4,4,4,4
1441,4,47,5,2,3,2,3,3,3,3,3
1484,4,20,1,2,3,1,6,4,3,4,4
1485,4,31,2,2,3,2,8,4,4,4,4
2134,6,50,6,2,3,2,6,4,3,4,4
2139,6,35,3,2,3,1,3,4,3,4,4
2140,6,32,3,2,3,2,6,4,4,4,4
2151,6,30,2,1,3,2,1,4,4,4,4
2184,6,48,5,1,3,2,2,4,4,4,4
2202,6,26,2,1,3,1,3,4,4,4,4
2208,6,33,3,2,3,2,5,4,3,4,3
2226,6,38,4,1,3,2,1,4,4,4,4
2233,6,38,4,1,3,2,1,4,3,4,4
2404,7,21,1,2,3,1,5,3,3,3,3
2412,7,23,1,2,3,2,2,4,4,4,4
2414,7,28,2,1,3,1,8,5,4,4,4
2420,7,24,1,2,3,2,3,4,4,4,4
2445,7,19,1,2,3,1,8,4,4,4,4
2478,7,25,1,2,3,3,6,4,4,4,4
2482,7,29,2,2,3,1,8,3,3,3,3
2510,7,22,1,2,3,1,3,4,4,4,4
2538,7,21,1,2,3,1,6,4,4,4,5
1790,4,23,1,1,3,1,8,4,3,4,4
2626,7,27,2,2,3,2,7,4,4,4,4
491,1,36,3,1,3,2,8,4,4,4,4
494,1,30,2,2,3,1,6,4,3,4,4
498,1,38,4,1,3,2,5,4,4,3,3
857,2,39,4,2,3,3,2,4,4,4,4
879,2,41,4,2,3,2,1,3,3,3,3
888,2,28,2,1,3,1,7,3,3,4,4
898,2,30,2,1,3,2,6,4,3,3,4
